               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.056172,            0.063371,                   0,             0.72929,             0.74931,             0.73113,             0.21146,            0.056405,            0.063224,                   0,             0.00373,             0.00373,             0.00373
                  40,            0.057241,            0.061876,                   0,             0.72693,             0.71889,             0.71773,             0.20236,            0.055564,            0.062214,                   0,            0.003565,            0.003565,            0.003565
                  41,            0.055382,            0.064112,                   0,             0.68784,             0.73917,             0.71374,             0.20369,            0.054534,            0.063191,                   0,              0.0034,              0.0034,              0.0034
                  42,            0.056902,            0.065353,                   0,             0.63856,             0.70599,              0.6458,               0.176,             0.05639,            0.065038,                   0,            0.003235,            0.003235,            0.003235
                  43,            0.054601,            0.064422,                   0,             0.71619,             0.74009,              0.7164,             0.21221,            0.055857,            0.062424,                   0,             0.00307,             0.00307,             0.00307
                  44,            0.056215,            0.062254,                   0,             0.68863,             0.75853,             0.72821,             0.21559,            0.054755,            0.062564,                   0,            0.002905,            0.002905,            0.002905
                  45,             0.05435,            0.063517,                   0,              0.6959,              0.7447,             0.73062,              0.2162,            0.055443,            0.062334,                   0,             0.00274,             0.00274,             0.00274
                  46,             0.05456,             0.06397,                   0,             0.69874,              0.7311,             0.71194,             0.20921,             0.05607,            0.063277,                   0,            0.002575,            0.002575,            0.002575
                  47,            0.055396,            0.064404,                   0,             0.71784,             0.76129,             0.74593,             0.22252,            0.054763,            0.062341,                   0,             0.00241,             0.00241,             0.00241
                  48,            0.054411,            0.064037,                   0,              0.7165,               0.753,              0.7383,             0.21655,             0.05391,            0.062399,                   0,            0.002245,            0.002245,            0.002245
                  49,            0.054629,            0.063917,                   0,             0.70969,             0.73452,             0.73016,             0.21583,             0.05429,            0.062205,                   0,             0.00208,             0.00208,             0.00208
                  50,            0.054034,            0.063274,                   0,             0.70307,             0.75289,             0.74389,              0.2141,            0.054842,             0.06214,                   0,            0.001915,            0.001915,            0.001915
                  51,            0.052804,            0.063123,                   0,             0.71393,             0.74931,             0.74045,             0.21918,            0.055731,            0.062616,                   0,             0.00175,             0.00175,             0.00175
                  52,            0.055235,            0.063215,                   0,              0.7075,              0.7535,             0.74223,               0.222,            0.054752,            0.061917,                   0,            0.001585,            0.001585,            0.001585
                  53,             0.05316,            0.062858,                   0,              0.6974,             0.73284,             0.71332,             0.20589,            0.055593,            0.063032,                   0,             0.00142,             0.00142,             0.00142
                  54,            0.053646,            0.062642,                   0,             0.72117,             0.73548,              0.7378,             0.22119,            0.055013,             0.06231,                   0,            0.001255,            0.001255,            0.001255
                  55,            0.054288,            0.062486,                   0,             0.72227,             0.72627,              0.7343,             0.21151,            0.056192,            0.062596,                   0,             0.00109,             0.00109,             0.00109
                  56,            0.054263,            0.063978,                   0,             0.71089,             0.72166,             0.72389,             0.20868,            0.055986,            0.062833,                   0,            0.000925,            0.000925,            0.000925
                  57,            0.054049,            0.061762,                   0,             0.72656,             0.74009,              0.7462,             0.21986,            0.055323,            0.062435,                   0,             0.00076,             0.00076,             0.00076
                  58,            0.052091,            0.063549,                   0,             0.70225,              0.7318,             0.72051,              0.2098,            0.055913,            0.062672,                   0,            0.000595,            0.000595,            0.000595
                  59,            0.053088,             0.06212,                   0,             0.70965,             0.73272,             0.74039,             0.21761,            0.055124,            0.062356,                   0,             0.00043,             0.00043,             0.00043
